,age,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,x0_ ?,x0_ Federal-gov,x0_ Local-gov,x0_ Never-worked,x0_ Private,x0_ Self-emp-inc,x0_ Self-emp-not-inc,x0_ State-gov,x0_ Without-pay
0,39, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,38, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,53, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,28, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,37, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,52, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,31, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,42, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,30, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,32, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,40, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,25, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,32, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,38, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,43, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,35, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,59, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,56, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,49, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,23, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,20, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,30, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,48, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,21, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,31, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, ?,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,48, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,31, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,53, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,24, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,49, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,25, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,57, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,53, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,44, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,41, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,29, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,25, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,43, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,35, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,41, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,30, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,30, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,48, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
