,capital-gain,hours-per-week
0,2174,40
1,0,13
2,0,40
3,0,40
4,0,40
5,0,40
6,0,16
7,0,45
8,14084,50
9,5178,40
10,0,80
11,0,40
12,0,30
13,0,50
14,0,40
15,0,45
16,0,35
17,0,40
18,0,50
19,0,45
20,0,60
21,0,20
22,0,40
23,0,40
24,0,40
25,0,40
26,0,40
27,0,60
28,0,80
29,0,40
30,0,52
31,0,44
32,0,40
33,0,40
34,0,15
35,0,40
36,0,40
37,0,25
38,0,38
39,0,40
40,0,43
41,0,40
42,0,50
43,0,40
44,0,35
45,0,40
46,0,38
47,0,40
48,0,40
49,0,43
50,0,40
51,0,30
52,0,60
53,0,55
54,0,60
55,0,40
56,0,40
57,0,40
58,0,48
59,5013,40
60,2407,40
61,0,40
62,0,40
63,0,45
64,0,58
65,0,40
66,0,40
67,0,40
68,0,50
69,0,40
70,0,32
71,0,40
72,0,70
73,0,40
74,0,20
75,0,40
76,0,40
77,0,2
78,0,22
79,0,40
80,0,30
81,0,40
82,0,40
83,0,48
84,14344,40
85,0,35
86,0,40
87,0,50
88,0,40
89,0,50
90,0,40
91,0,40
92,0,25
93,0,35
94,0,40
95,0,50
96,0,60
97,0,48
98,0,40
99,0,40
100,0,40
101,15024,60
102,0,50
103,0,40
104,0,40
105,7688,40
106,34095,32
107,0,40
108,0,40
109,0,40
110,0,40
111,0,40
112,0,50
113,4064,25
114,0,40
115,0,50
116,0,50
117,0,40
118,0,56
119,0,41
120,0,40
121,0,60
122,0,40
123,0,50
124,0,35
125,0,40
126,0,28
127,0,40
128,0,40
129,0,40
130,0,60
131,0,40
132,4386,35
133,0,50
134,0,36
135,0,40
136,0,60
137,0,35
138,0,20
139,0,40
140,0,40
141,0,40
142,0,30
143,0,40
144,0,40
145,0,30
146,0,24
147,0,24
148,0,40
149,0,40
150,0,38
151,0,40
152,0,40
153,0,35
154,0,45
155,0,46
156,0,40
157,0,2
158,0,60
159,0,50
160,0,20
161,0,40
162,0,40
163,0,40
164,0,40
165,0,40
166,0,42
167,0,40
168,0,16
169,0,20
170,0,40
171,0,40
172,0,40
173,0,50
174,0,40
175,0,25
176,0,40
177,0,40
178,0,12
179,0,65
180,0,38
181,0,40
182,0,45
183,0,40
184,0,42
185,0,40
186,0,40
187,0,50
188,0,50
189,0,1
190,0,28
191,0,40
192,0,40
193,0,45
194,0,24
195,0,40
196,0,40
197,14084,55
198,7298,40
199,0,40
200,0,40
201,0,40
202,0,50
203,0,40
204,0,35
205,0,40
206,7298,36
207,0,60
208,15024,35
209,0,12
210,0,40
211,0,40
212,0,40
213,0,40
214,0,40
215,0,60
216,0,40
217,0,50
218,0,55
219,0,40
220,0,40
221,0,40
222,0,40
223,0,20
224,0,35
225,0,40
226,0,10
227,1409,50
228,0,20
229,0,40
230,3674,40
231,0,38
232,0,42
233,0,40
234,0,55
235,0,40
236,0,38
237,0,50
238,0,70
239,0,40
240,0,40
241,0,20
242,0,50
243,0,20
244,0,40
245,0,35
246,0,45
247,0,34
248,0,60
249,0,40
250,0,40
251,0,40
252,0,30
253,0,40
254,0,20
255,0,40
256,0,40
257,0,30
258,0,45
259,0,40
260,0,40
261,0,60
262,0,12
263,4064,40
264,0,40
265,0,75
266,0,24
267,0,40
268,0,45
269,0,40
270,0,40
271,1055,24
272,2407,98
273,0,35
274,0,40
275,0,40
276,7298,40
277,0,40
278,0,40
279,7298,48
280,0,15
281,5178,40
282,0,45
283,0,42
284,0,40
285,15024,40
286,0,60
287,0,45
288,0,40
289,0,40
290,0,45
291,0,40
292,0,56
293,0,45
294,0,40
295,0,16
296,0,60
297,3464,40
298,0,40
299,0,80
300,7688,40
301,0,25
302,0,45
303,4386,40
304,0,40
305,0,40
306,0,45
307,0,33
308,0,40
309,0,54
310,0,40
311,7298,35
312,0,25
313,0,40
314,0,15
315,0,40
316,0,40
317,0,40
318,0,40
319,0,24
320,0,40
321,0,50
322,0,45
323,0,40
324,0,10
325,0,45
326,0,15
327,0,50
328,0,40
329,2050,55
330,0,45
331,0,40
332,0,40
333,0,40
334,0,40
335,0,48
336,0,40
337,0,60
338,0,30
339,0,40
340,0,40
341,7298,40
342,7298,40
343,0,20
344,0,40
345,0,42
346,0,8
347,0,40
348,0,25
349,0,25
350,0,40
351,0,40
352,0,40
353,0,30
354,0,40
355,0,40
356,0,40
357,0,40
358,0,35
359,0,40
360,0,24
361,0,40
362,0,45
363,0,45
364,0,55
365,0,40
366,0,45
367,0,15
368,0,45
369,0,40
370,0,15
371,0,10
372,0,38
373,0,40
374,0,40
375,0,10
376,0,40
377,0,40
378,0,30
379,0,50
380,0,40
381,0,45
382,0,40
383,0,40
384,0,40
385,0,25
386,0,40
387,0,6
388,0,16
389,0,40
390,0,40
391,0,50
392,0,40
393,7688,45
394,0,35
395,0,40
396,0,40
397,0,35
398,0,55
399,0,50
400,0,40
401,0,40
402,0,40
403,0,64
404,0,40
405,0,65
406,0,40
407,0,25
408,0,40
409,0,50
410,0,24
411,0,40
412,0,40
413,15024,60
414,0,40
415,0,50
416,0,40
417,0,19
418,0,40
419,0,40
420,0,30
421,2176,18
422,0,40
423,0,40
424,0,35
425,0,60
426,0,40
427,0,72
428,0,40
429,0,40
430,0,24
431,0,40
432,2174,40
433,0,25
434,0,40
435,0,50
436,594,60
437,0,40
438,0,40
439,0,40
440,0,40
441,0,28
442,0,40
443,0,40
444,0,40
445,0,35
446,0,40
447,0,40
448,0,40
449,0,5
450,0,40
451,0,55
452,0,40
453,0,40
454,0,40
455,0,40
456,0,40
457,0,50
458,0,60
459,0,40
460,0,40
461,0,40
462,0,50
463,0,40
464,0,20
465,0,60
466,0,40
467,0,40
468,0,45
469,0,16
470,0,40
471,0,40
472,0,40
473,0,60
474,0,24
475,0,40
476,0,6
477,0,30
478,0,40
479,0,35
480,0,45
481,0,20
482,0,20
483,0,40
484,594,40
485,0,20
486,0,35
487,0,45
488,0,40
489,15024,60
490,0,35
491,0,40
492,0,60
493,0,25
494,0,20
495,0,36
496,0,40
497,0,40
498,0,35
499,0,20
500,0,40
501,0,40
502,0,40
503,0,42
504,0,40
505,0,40
506,0,8
507,0,40
508,0,40
509,0,40
510,0,42
511,0,30
512,0,45
513,0,50
514,0,45
515,0,38
516,0,20
517,0,24
518,0,35
519,0,50
520,15024,80
521,7688,50
522,0,50
523,0,45
524,0,58
525,0,40
526,0,40
527,0,9
528,0,50
529,0,40
530,0,46
531,0,40
532,0,40
533,0,50
534,20051,48
535,0,50
536,0,30
537,0,40
538,0,45
539,0,40
540,0,40
541,0,40
542,0,40
543,0,40
544,0,50
545,0,45
546,0,8
547,0,40
548,0,36
549,0,40
550,0,50
551,0,40
552,0,40
553,0,40
554,0,40
555,0,40
556,0,40
557,0,20
558,0,32
559,0,40
560,0,55
561,0,35
562,0,50
563,0,40
564,0,60
565,0,48
566,5013,45
567,0,40
568,0,35
569,0,42
570,0,40
571,0,40
572,0,12
573,0,40
574,0,70
575,0,40
576,0,25
577,0,35
578,0,40
